,C value,gamma,accuracy,Ham precision,Ham recall,Spam precision,Spam recall
0,0.01,0.01,0.8090909090909091,0.7757412398921832,0.8705384150030248,0.8519031141868512,0.7474195506982392
1,0.02,0.01,0.8052525252525252,0.797565285686236,0.8191167574107683,0.8133971291866029,0.7913377858733049
2,0.03,0.01,0.798989898989899,0.8052642401809582,0.7896753377697117,0.7929323009728013,0.8083383930378466
3,0.04,0.01,0.7973737373737374,0.8103846962371243,0.7773744706594071,0.785339296130663,0.8174458611617081
4,0.05,0.01,0.7967676767676768,0.8145144076840982,0.7695099818511797,0.7808245445829338,0.8241246711192066
5,0.06,0.01,0.7954545454545454,0.8180832610581092,0.7608388788062109,0.7757186081694403,0.8301963165351144
6,0.07,0.01,0.7942424242424242,0.8219479947113266,0.7521677757612422,0.7707944796717643,0.8364703501315524
7,0.08,0.01,0.7935353535353535,0.8242491657397107,0.7471264367816092,0.7679925994449583,0.840113337381097
8,0.09,0.01,0.7925252525252525,0.8251623013207969,0.7432950191570882,0.7656911466961164,0.8419348310058693
9,0.1,0.01,0.7921212121212121,0.8251513113651647,0.7422867513611615,0.7650303364589078,0.8421372191863995
10,0.01,0.02,0.8119191919191919,0.789710009354537,0.8511796733212341,0.837980241492865,0.772515685083991
11,0.02,0.02,0.8091919191919192,0.8130097879282219,0.8039927404718693,0.8054443554843875,0.8144100384537543
12,0.03,0.02,0.807070707070707,0.8252613612118626,0.7799959669288163,0.79071551889507,0.8342440801457195
13,0.04,0.02,0.8052525252525252,0.8334433443344335,0.7638636821939907,0.7813258636788049,0.8467921473385954
14,0.05,0.02,0.803939393939394,0.838796587337225,0.753377697116354,0.7754315093646713,0.8546852863792754
15,0.06,0.02,0.8004040404040405,0.8402920374172941,0.7426900584795322,0.7687148812760558,0.85832827362882
16,0.07,0.02,0.7991919191919192,0.8436271108026833,0.7354305303488606,0.7647480724403801,0.8631855899615463
17,0.08,0.02,0.796969696969697,0.8409248554913294,0.7334139947570074,0.7628699551569507,0.8607569317951832
18,0.09,0.02,0.7963636363636364,0.8453414691386998,0.7263561201855213,0.7593544954779217,0.8666261890305607
19,0.1,0.02,0.7957575757575758,0.8479033404406539,0.7217180883242589,0.756999471737982,0.8700667880995749
20,0.01,0.03,0.8133333333333334,0.7972482323714887,0.8412986489211535,0.8313691879151489,0.7852661404573973
21,0.02,0.03,0.8098989898989899,0.8240994312197177,0.7888687235329703,0.7968173879293615,0.8310058692572354
22,0.03,0.03,0.807979797979798,0.8370811287477954,0.7656785642266586,0.7833706189410887,0.85043513458814
23,0.04,0.03,0.8065656565656566,0.8468550592525068,0.7493446259326477,0.7744920174165457,0.8639951426836673
24,0.05,0.03,0.8032323232323232,0.852989449003517,0.7336156483161927,0.7655723158828749,0.8731026108075288
25,0.06,0.03,0.8007070707070707,0.8580335731414868,0.7215164347650737,0.7589877835951134,0.8801861971260878
26,0.07,0.03,0.8002020202020202,0.8611582263145142,0.7166767493446259,0.756625671228131,0.8840315725561627
27,0.08,0.03,0.7993939393939394,0.8682189744860045,0.7067957249445452,0.7520040934675081,0.8923294879579032
28,0.09,0.03,0.7983838383838384,0.873267825648778,0.6989312361363178,0.7482717922778621,0.8981987451932807
29,0.1,0.03,0.7963636363636364,0.8741418764302059,0.6932849364791288,0.7450980392156863,0.8998178506375227
30,0.01,0.04,0.8093939393939394,0.8029585798816568,0.8209316394434362,0.8161490683229814,0.7978142076502732
31,0.02,0.04,0.807979797979798,0.832391304347826,0.7721314781205888,0.7867924528301887,0.8439587128111719
32,0.03,0.04,0.8033333333333333,0.848127600554785,0.7398669086509377,0.7685683530678149,0.8670309653916212
33,0.04,0.04,0.8,0.8588291977836666,0.7188949384956644,0.7575230474865194,0.8814005262092693
34,0.05,0.04,0.7997979797979798,0.8683494184607771,0.7076023391812866,0.7525174944529783,0.8923294879579032
35,0.06,0.04,0.7986868686868687,0.8767784552845529,0.695906432748538,0.7471495640509725,0.9018417324428254
36,0.07,0.04,0.7980808080808081,0.8824289405684754,0.6886469046178665,0.7439469320066335,0.907913377858733
37,0.08,0.04,0.7966666666666666,0.8876315789473684,0.680177455132083,0.74,0.9135802469135802
38,0.09,0.04,0.7956565656565656,0.8865192206424434,0.6789675337769712,0.7391019337921992,0.9127706941914592
39,0.1,0.04,0.7948484848484848,0.8895689196381054,0.6741278483565235,0.7368935200260501,0.9160089050799434
40,0.01,0.05,0.8062626262626262,0.8093591047812818,0.8021778584392014,0.80320962888666,0.8103622748431492
41,0.02,0.05,0.8033333333333333,0.8384269662921349,0.7523694293204275,0.7746788990825688,0.8544828981987452
42,0.03,0.05,0.795959595959596,0.8552090887116268,0.7134502923976608,0.7534270345306264,0.8787694798623761
43,0.04,0.05,0.795050505050505,0.8727735368956743,0.6916717080056463,0.7438860971524288,0.8988059097348715
44,0.05,0.05,0.7956565656565656,0.8824908806670141,0.6830006049606776,0.7406796436819532,0.9087229305808541
45,0.06,0.05,0.7947474747474748,0.8880933439405994,0.6753377697116354,0.7373144069179312,0.9145921878162315
46,0.07,0.05,0.7942424242424242,0.8955062263129399,0.6670699737850373,0.73396712858524,0.9218781623153208
47,0.08,0.05,0.7923232323232323,0.8993122420907841,0.6592054849768099,0.7302474062250599,0.9259259259259259
48,0.09,0.05,0.7913131313131313,0.9023643949930459,0.6541641459971769,0.7279936558287073,0.9289617486338798
49,0.1,0.05,0.7881818181818182,0.9049235993208828,0.6448880822746521,0.7233741753063148,0.9319975713418336
50,0.01,0.06,0.7984848484848485,0.8121314237573716,0.7775761242185925,0.7859083850931677,0.8194697429670107
51,0.02,0.06,0.7964646464646464,0.8479905437352245,0.7233313167977414,0.7580246913580246,0.8698643999190447
52,0.03,0.06,0.7885858585858586,0.8624178047546788,0.6876386368219399,0.7394887319206189,0.8899008297915402
53,0.04,0.06,0.79,0.8835908364411295,0.6688848558177052,0.7328343638138627,0.9115563651082776
54,0.05,0.06,0.7907070707070707,0.8955878322828172,0.6590038314176245,0.729483282674772,0.922890103217972
55,0.06,0.06,0.788989898989899,0.9017357222844344,0.6495261141359145,0.7253476611883691,0.9289617486338798
56,0.07,0.06,0.7868686868686868,0.903884320952651,0.642871546682799,0.7221088969088342,0.9313904068002429
57,0.08,0.06,0.7839393939393939,0.9065743944636678,0.6339987900786449,0.7178171641791045,0.9344262295081968
58,0.09,0.06,0.7815151515151515,0.9085330216247808,0.6269409155071587,0.714418030256252,0.9366524994940295
59,0.1,0.06,0.7804040404040404,0.9130821714624741,0.6206896551724138,0.7119007504977791,0.9407002631046347
60,0.01,0.07,0.7918181818181819,0.8166520979020979,0.7535793506755394,0.7704733283245679,0.8301963165351144
61,0.02,0.07,0.7871717171717172,0.8549029367844699,0.6926799758015729,0.740904454267256,0.8820076907508602
62,0.03,0.07,0.7846464646464646,0.8748342614691064,0.6652550917523694,0.729156469244575,0.9044727787897187
63,0.04,0.07,0.7856565656565656,0.892610019374481,0.6503327283726558,0.7241927787498011,0.9214733859542603
64,0.05,0.07,0.7840404040404041,0.9035765379113019,0.6368219399072393,0.7188134270101483,0.9317951831613034
65,0.06,0.07,0.7825252525252525,0.910233918128655,0.6277475297439,0.7151234567901235,0.937866828577211
66,0.07,0.07,0.7811111111111111,0.9125295508274232,0.622706190764267,0.7128606507059546,0.9400930985630439
67,0.08,0.07,0.7781818181818182,0.9154887218045112,0.6138334341601129,0.708745247148289,0.9431289212709978
68,0.09,0.07,0.7764646464646464,0.9173252279635259,0.6085904416212946,0.7063540090771558,0.9449504148957701
69,0.1,0.07,0.7742424242424243,0.920111042566317,0.6015325670498084,0.7032141784319615,0.9475814612426634
70,0.01,0.08,0.7838383838383839,0.8193972354407433,0.7291792700141158,0.7552396573719701,0.8386966201173851
71,0.02,0.08,0.777070707070707,0.8590814196242171,0.6638435168380722,0.7252801582069874,0.8907103825136612
72,0.03,0.08,0.7776767676767676,0.8824181919023849,0.641661625327687,0.7176676199555132,0.914187411455171
73,0.04,0.08,0.7787878787878788,0.9009556907037359,0.6273442226255294,0.7133550488599348,0.930783242258652
74,0.05,0.08,0.7787878787878788,0.916390977443609,0.6144383948376689,0.7092015209125475,0.9437360858125885
75,0.06,0.08,0.776969696969697,0.9187214611872146,0.6085904416212946,0.7065759637188208,0.9459623557984214
76,0.07,0.08,0.7735353535353535,0.916845658177355,0.6025408348457351,0.70320734829092,0.9451528030763003
77,0.08,0.08,0.7732323232323233,0.9237976264834479,0.5964912280701754,0.701254105703195,0.9506172839506173
78,0.09,0.08,0.7706060606060606,0.9269377382465057,0.5884250857027626,0.6977191943127962,0.9534507184780409
79,0.1,0.08,0.7674747474747474,0.9281340638092169,0.5807622504537205,0.694129763130793,0.9548674357417527
80,0.01,0.09,0.7768686868686868,0.8258293838862559,0.7027626537608389,0.7404929577464788,0.851244687310261
81,0.02,0.09,0.7717171717171717,0.8638447020760313,0.6460980036297641,0.7165239864319173,0.8977939688322202
82,0.03,0.09,0.7722222222222223,0.886949055523755,0.6249243799153055,0.7096472057446144,0.9200566686905485
83,0.04,0.09,0.7716161616161616,0.904619076184763,0.6081871345029239,0.7040816326530612,0.9356405585913783
84,0.05,0.09,0.7707070707070707,0.9184562713974479,0.5950796531558782,0.6997158666068491,0.9469742967010727
85,0.06,0.09,0.7691919191919192,0.9228336495888678,0.5884250857027626,0.697091124962897,0.9506172839506173
86,0.07,0.09,0.7671717171717172,0.927237604636188,0.5807622504537205,0.6939947012069473,0.9542602712001619
87,0.08,0.09,0.7646464646464647,0.9311249590029518,0.5724944545271224,0.6905561231936943,0.9574984820886461
88,0.09,0.09,0.7646464646464647,0.9311249590029518,0.5724944545271224,0.6905561231936943,0.9574984820886461
89,0.1,0.09,0.7644444444444445,0.9322145442579796,0.5712845331720104,0.690132633726862,0.9583080348107671
90,0.01,0.1,0.7693939393939394,0.8366884750880724,0.6704980842911877,0.7242659466756666,0.8686500708358632
91,0.02,0.1,0.765959595959596,0.869200670765791,0.627142569066344,0.70752926289149,0.9052823315118397
92,0.03,0.1,0.7685858585858586,0.8958456973293768,0.6087920951804799,0.7029096477794793,0.9289617486338798
93,0.04,0.1,0.7655555555555555,0.9137390213299874,0.5874168179068361,0.6951728247914184,0.9443432503541793
94,0.05,0.1,0.7648484848484849,0.922854387656702,0.5789473684210527,0.6924436588599204,0.9514268366727383
95,0.06,0.1,0.762020202020202,0.9282658769332017,0.5688646904617867,0.6883836175484623,0.9558793766444039
96,0.07,0.1,0.7612121212121212,0.9335115268960908,0.563420044363783,0.6865498769364413,0.9597247520744788
97,0.08,0.1,0.7608080808080808,0.9319773257752584,0.5636216979229683,0.6864222576438197,0.9587128111718276
98,0.09,0.1,0.7602020202020202,0.9321297225008358,0.5622101230086711,0.6857721812129107,0.9589151993523578
99,0.1,0.1,0.7604040404040404,0.9336238685886691,0.5616051623311151,0.6857018938846321,0.9599271402550091
